symbol,turnover24h,age_days,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_median,validation_win_rate,stage1_score
1000RATSUSDT,63174416.8533,986.3294839236111,19,0.20324482505844754,0.010217625666162121,0.003072565716401355,0.5263157894736842,-0.0285297907816362,0.05854443780776686,14,0.136697508467716,0.0002853545282888734,0.5,0.9578093306288032
PYTHUSDT,1270366.9361,987.3746691087963,21,0.3736864922211043,0.01562741072422195,0.006130124777183555,0.5714285714285714,-0.01783249730590275,0.15698617465536246,15,0.18729724028922923,0.005453278265358797,0.5333333333333333,0.9575557809330629
SHIB1000USDT,11994145.6855,1749.5893681828704,19,0.10586868634758373,0.005364271794131429,0.005110458284371401,0.631578947368421,-0.014988341393779692,0.06290842656629136,13,0.040417649072624906,0.002507131166705424,0.5384615384615384,0.9406186612576064
UBUSDT,10087157.8287,326.20315290509257,7,0.2027923011128776,0.027965687564704206,0.0024683083326108033,0.8571428571428571,-0.045703462184705335,0.0639367363374923,4,0.13051111032539708,0.027372009749097925,0.75,0.9334685598377281
EIGENUSDT,1295640.7789,728.4341251273148,17,0.16332623843832317,0.00915714096833226,0.0034318667236222797,0.5294117647058824,-0.02223730818866354,0.0788895330741397,13,0.07826260499867255,-0.007814588405002487,0.46153846153846156,0.932606490872211
ORDIUSDT,3409281.0117,1170.2906413310186,15,0.14131159678767458,0.009202891819170608,0.004343082114735775,0.5333333333333333,-0.028707002322143182,0.12274960778157107,11,0.01653261678067297,-0.008037369596255561,0.45454545454545453,0.9289046653144016
ENSOUSDT,1769195.2262,294.199773275463,6,0.08992833815217116,0.014516872876911816,0.013695995902995084,0.8333333333333334,-0.005711869207585152,0.051530045545321146,3,0.0365165910089964,0.012732448696188947,0.6666666666666666,0.9187626774847871
SAGAUSDT,326959.1389,847.1107339236111,14,0.1498612681522049,0.010154821522530999,0.00997552187774109,0.7142857142857143,-0.013789077098817937,-0.0028753070515690204,12,0.15317700612963647,0.010202120281638583,0.75,0.9175456389452332
COREUSDT,2960759.121,1272.2801783680557,24,0.20572462357765975,0.008019206114885121,0.007471606125307062,0.5833333333333334,-0.052760511902887886,0.2152136048069242,18,-0.007808488311626505,-0.005151712013676034,0.4444444444444444,0.9160243407707911
AVAXUSDT,35714002.5111,1784.5893681828704,18,0.08172787344061394,0.004473385354581188,0.0002800214056672976,0.5,-0.01844257769340152,0.06832875366941282,12,0.012542131553773928,-0.002537572689939093,0.4166666666666667,0.9026876267748478
PROVEUSDT,241915.0854,363.87838438657406,16,0.1758336030023051,0.01033720612247055,0.0017094171001734723,0.625,-0.019050247085056204,0.11869809293807476,11,0.0510732166479102,-0.003389486260453877,0.45454545454545453,0.9016227180527383
XANUSDT,1095318.2615,309.1418103125,11,0.09277809106193646,0.008328721787186173,0.002875968992248069,0.5454545454545454,-0.016684243830606182,0.01588253394053374,9,0.07569335484401951,0.002875968992248069,0.5555555555555556,0.8992900608519271
C98USDT,204685.9747,1744.5893681828704,18,0.135214867398884,0.007150585448957069,0.005791025008954454,0.7222222222222222,-0.009493502730723247,0.09971756121279007,12,0.03227856627746051,0.002949711464116601,0.6666666666666666,0.8968559837728195
NILUSDT,3548637.4564,502.13397466435185,19,0.11610547291330642,0.0060217095542593494,-0.002122964626614209,0.47368421052631576,-0.02625694701553971,-0.019974667257570466,15,0.138853696557089,0.0007431725740848502,0.5333333333333333,0.8956896551724136
ZAMAUSDT,2673874.8024,207.16660197916667,7,0.07151761486041397,0.010102179756618503,0.0077481146304675405,0.5714285714285714,-0.01353330053078483,0.03752301408332959,5,0.03276515346227682,0.0077481146304675405,0.6,0.8946754563894523
ARBUSDT,9207233.4269,1230.1951552199075,23,0.10253201183791849,0.004373238784215332,-0.0005171414775469998,0.4782608695652174,-0.03409286883851215,0.10055374623620406,18,0.0017975183933358618,-0.0037270671876986064,0.3888888888888889,0.8904665314401623
MANTAUSDT,163885.7115,929.1289746643519,14,0.1839361158972559,0.012371387524374325,0.009811846114299971,0.5714285714285714,-0.0295812776722858,0.07355365150698767,11,0.1028197000078388,0.005664957703153007,0.5454545454545454,0.8902129817444219
ZKPUSDT,144011.7012,225.34564133101853,11,0.14458660569353632,0.012566364945351228,0.012668779714738565,0.6363636363636364,-0.027036367076046397,0.0163422813480687,8,0.12618221902110083,0.014372228280625232,0.625,0.8829614604462475
RAVEUSDT,1038609.5301,232.34617373842593,23,0.2951190820237761,0.011912702994677981,0.0066567656765675895,0.6086956521739131,-0.08008681052431399,-0.018899781492756618,17,0.32006808029695155,0.0068912270302311516,0.6470588235294118,0.881237322515213
GOATUSDT,211572.2261,651.1418681828703,16,0.13996644451841922,0.00852003321635253,0.004274409928976208,0.5,-0.02360525051588258,0.050319492709031355,8,0.08535207851676296,-0.0042465424438436475,0.375,0.8793610547667343
ETHUSDT,1786302770.7709,1968.5893681828704,17,0.05819700396181493,0.003380003596226439,0.005343343504095156,0.5882352941176471,-0.02516984505095521,0.021254340156010132,11,0.03617381327374436,0.006855366305010492,0.5454545454545454,0.878498985801217
