symbol,turnover24h,age_days,exit_method,exit_score,exit_selection_note,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_expectancy,validation_median,validation_win_rate,validation_profit_factor,validation_sell_early_median_6h,eligibility_tier,eligible,score
PYTHUSDT,1270366.9361,987.3746691087963,structure_fixed6,0.8987499999999999,best_daily_stop_exit_validation_score,63,0.47863539012716294,0.006463367142046158,-0.0054688184281054255,0.4444444444444444,-0.05457626374884961,0.24537928662831132,15,0.18729724028922923,0.011782455009051144,0.005453278265358797,0.5333333333333333,4.098996781200202,0.01663812087105465,relaxed,True,0.7748846153846153
HOMEUSDT,103929842.8523,420.1200394791667,structure_rolling_high,0.865,best_daily_stop_exit_validation_score,71,0.4396906335628221,0.005372279726217578,-0.004978134295655633,0.4647887323943662,-0.06563936813645654,0.17526092780853797,22,0.22499659394561555,0.00960235335531418,0.0072883270667040145,0.5454545454545454,2.417709522526054,0.026740397293668616,relaxed,True,0.7681923076923077
TUTUSDT,3940707.0951,503.2051552199074,structure_atr_trail_1.5,0.7642857142857142,best_daily_stop_exit_validation_score,45,0.3221743623937863,0.006517196254813452,-0.0004880080098302866,0.4888888888888889,-0.060796931308562674,0.21750694097487067,5,0.08596864452789665,0.016868032587338024,0.007495025368637998,0.8,26.59421964363769,0.020923451091340084,relaxed,True,0.7339038461538461
NILUSDT,3548637.4564,502.13397466435185,structure_rolling_high,0.77875,best_daily_stop_exit_validation_score,40,0.21815638011866878,0.005223878968875664,-0.005984860945777714,0.45,-0.09501459766159503,0.06177740712358459,15,0.14728037340587674,0.009465888217904898,0.006541478129713397,0.5333333333333333,3.206857745850815,0.007877583292246637,relaxed,True,0.68175
HANAUSDT,446383.2535,291.1080603125,structure_atr_trail_1.5,0.8850000000000001,best_daily_stop_exit_validation_score,52,0.3252492291580211,0.005884054923821553,-0.003941346723319527,0.40384615384615385,-0.0801591090237479,0.025551935447748253,18,0.29223024534532915,0.01537863078018288,-0.0031030664599434035,0.4444444444444444,4.7087611046209155,0.007511627127455345,relaxed,True,0.6321538461538463
AEVOUSDT,435600.2453,874.1378172569445,structure_rolling_high,0.7457142857142856,best_daily_stop_exit_validation_score,44,0.2086236219781228,0.004569231129034537,-0.006382312564496283,0.4090909090909091,-0.052749087139067674,0.12510572003422826,7,0.07423115930950352,0.010943900422126356,-0.004972929126471514,0.42857142857142855,3.5255832373376266,0.020746887966805128,relaxed,True,0.623653846153846
DOLOUSDT,59928.7297,372.2184191087963,structure_atr_trail_1.5,0.74125,best_daily_stop_exit_validation_score,37,0.26099676165361685,0.006417023896185403,-0.00036724617235817016,0.4594594594594595,-0.016599467419781355,0.19325929621483007,8,0.05676676113369372,0.007146706314294843,-0.0012598214849676706,0.375,3.8993228603640615,0.008553377590428513,relaxed,True,0.6219423076923077
MANTAUSDT,163885.7115,929.1289746643519,structure_atr_trail_1.5,0.9500000000000001,best_daily_stop_exit_validation_score,41,0.15177007158914368,0.0035881985882912104,-0.0010213793988115274,0.43902439024390244,-0.08321839374625295,0.06615596059624984,11,0.08030167644986386,0.00712797679512372,0.004772258177365819,0.7272727272727273,5.234373942673267,0.008438872647486884,relaxed,True,0.6214615384615384
BOMEUSDT,2089639.6639,872.2196343865741,structure_rolling_high,0.9100000000000001,best_daily_stop_exit_validation_score,42,0.11685940341947099,0.002852851626657985,-0.006869307207824359,0.35714285714285715,-0.08853638192848978,0.047962678314887874,6,0.065743491185553,0.010754427319955906,0.016043212654758943,0.6666666666666666,5.502887041311764,0.014498687454652881,relaxed,True,0.6201730769230769
GIGGLEUSDT,13071488.3338,299.07997003472224,structure_fixed6,1.0,best_daily_stop_exit_validation_score,63,0.31385323717059466,0.004775067466459717,-0.005733931260884283,0.4126984126984127,-0.11836729423506376,0.1747813970652925,16,0.11838103706163183,0.007859073368564215,-0.005414852017216642,0.3125,2.571235148543162,0.011983584729052033,relaxed,True,0.6178461538461539
